asset_id,asset_name,asset_type,environment,exposure_type,vendor,trust_boundary,entry_points,logical_data_classes,description,notes,mapped_data_class_ids,mapped_control_ids,Unnamed: 13
AS-001,Public Marketing Website,Web Application,Prod,Remote,External,Internet Boundary,HTTPS; CDN Edge,Public; WebAnalytics,Public-facing site with analytics and tracking integrations.,,CRT-D-0001;CRT-D-0002;CRT-D-0043,CRT-C-0003;CRT-C-0005;CRT-C-0023;CRT-C-0017;CRT-C-0014;CRT-C-0016,
AS-002,Customer Portal,Web Application,Prod,Remote,External,Internet Boundary,HTTPS; REST API,Customer Profiles; Behavioural Data,Authenticated customer interface exposing limited PII.,,CRT-D-0007;CRT-D-0035,CRT-C-0002;CRT-C-0003;CRT-C-0004;CRT-C-0005;CRT-C-0021;CRT-C-0023;CRT-C-0017;CRT-C-0016,
AS-003,Corporate VPN Gateway,Access Gateway,Prod,Remote,Internal,Network Perimeter,IPSec; TLS VPN,Authentication Secrets; Access Logs,Primary remote access pathway for staff and contractors.,,CRT-D-0013;CRT-D-0008,CRT-C-0003;CRT-C-0012;CRT-C-0013;CRT-C-0017;CRT-C-0014;CRT-C-0010,
AS-004,Email Security Gateway,Secure Gateway,Prod,Remote,SecurityVendor,Perimeter Boundary,SMTP; HTTPS,Employee Data; Email Metadata,"Filters inbound/outbound mail for spam, malware  and DLP policy.",,CRT-D-0006;CRT-D-0003,CRT-C-0003;CRT-C-0013;CRT-C-0004;CRT-C-0017;CRT-C-0049,
AS-005,SSO Identity Provider (IdP),Identity Service,Prod,Hybrid,IdentityVendor,Auth Boundary,SAML; OIDC; SCIM,Authentication Data; Session Tokens,Federated identity platform for internal/SaaS authentication.,,CRT-D-0013;CRT-D-0036;CRT-D-0017,CRT-C-0003;CRT-C-0015;CRT-C-0007;CRT-C-0012;CRT-C-0009;CRT-C-0017;CRT-C-0021,
AS-006,SaaS CRM Platform,SaaS Application,Prod,Hybrid,CRMVendor,Off-Prem Vendor Boundary,HTTPS UI; REST API,Customer Records; Sales Data,Customer engagement platform storing PII and interaction history.,,CRT-D-0007;CRT-D-0042;CRT-D-0041,CRT-C-0001;CRT-C-0002;CRT-C-0003;CRT-C-0004;CRT-C-0022;CRT-C-0028;CRT-C-0029,
AS-007,Service Desk Platform,Web Application,Prod,Hybrid,SupportVendor,Off-Prem Vendor Boundary,HTTPS UI; Email Ingest,Workflow Metadata; Internal Records,Incident and request workflow engine across teams.,,CRT-D-0005;CRT-D-0037,CRT-C-0001;CRT-C-0003;CRT-C-0021;CRT-C-0017;CRT-C-0049,
AS-008,Market Data Feed Handler,Integration Service,Prod,Remote,MarketDataVendor,External Integration Boundary,TCP Feed; Proprietary API,Market Data; ETL Staging,Processes licensed market data feeds for analytics/trading.,,CRT-D-0025;CRT-D-0026,CRT-C-0003;CRT-C-0005;CRT-C-0017;CRT-C-0049;CRT-C-0022,
AS-009,Order Management System (OMS),Application Service,Prod,Hybrid,Internal,App Tier Boundary,Web UI; FIX; REST API,Trade Orders; Financial Records,Core trading workflow engine for order capture and routing.,,CRT-D-0016;CRT-D-0010,CRT-C-0002;CRT-C-0003;CRT-C-0005;CRT-C-0021;CRT-C-0049;CRT-C-0051;CRT-C-0014,
AS-010,Payment Processing Gateway,Application Service,Prod,Remote,PaymentProvider,External Service Boundary,HTTPS API; Webhook,Payment Data; Financial Records,Processes outbound payments with external processors.,,CRT-D-0033;CRT-D-0010,CRT-C-0003;CRT-C-0010;CRT-C-0005;CRT-C-0017;CRT-C-0024;CRT-C-0016,
AS-011,Internal HR System,Application,Prod,Local,Internal,App Tier Boundary,Web UI; REST API,PII; Employee Data,"Stores HR,  payroll,  performance and limited health-related data.",,CRT-D-0006;CRT-D-0015,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0021; CRT-C-0049; CRT-C-0062; CRT-C-0039,
AS-012,ERP / Finance Suite,Application Suite,Prod,Local,Internal,App Tier Boundary,Web UI; Batch Jobs,Financial Records; Governance Records,"Supports GL, procurement,  AP/AR ,  financial compliance.",,CRT-D-0010;CRT-D-0018,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0021; CRT-C-0049; CRT-C-0051; CRT-C-0062,
AS-013,Internal File Server,Storage System,Prod,Local,Internal,Internal Network,SMB; NFS,Documentation; Legal Records,Operational file storage for regulated and internal documents.,,CRT-D-0037;CRT-D-0018,CRT-C-0002; CRT-C-0005; CRT-C-0049; CRT-C-0062; CRT-C-0057,
AS-014,Cloud Storage Bucket,Object Storage,Cloud,Hybrid,CloudProvider,Cloud Boundary,HTTPS; API,Analytics Outputs; Backups,"Stores analytics exports,  media,  and research datasets.",,CRT-D-0012;CRT-D-0032,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0062; CRT-C-0022,
AS-015,Analytics Platform,Data Platform,Prod,Hybrid,CloudProvider,Analytics Boundary,SQL; Notebook; API,ETL Data; ML Training Data,Central analytics environment for datasets and ML workloads.,,CRT-D-0026;CRT-D-0040,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0049; CRT-C-0063; CRT-C-0046; CRT-C-0020,
AS-016,ETL Integration Service,Integration Service,Prod,Hybrid,Internal,App Tier Boundary,Scheduled Jobs; API Calls,ETL Data; System Metadata,Automates data ingestion and transformation workflows.,,CRT-D-0026;CRT-D-0005,CRT-C-0003; CRT-C-0005; CRT-C-0049; CRT-C-0020,
AS-017,Vendor SFTP Drop Zone,File Transfer Service,Prod,Remote,Vendor,Transit Boundary,SFTP; SSH,Vendor Data; Market Data,Secure exchange point for vendor-provided files.,,CRT-D-0011;CRT-D-0025,CRT-C-0003; CRT-C-0025; CRT-C-0026; CRT-C-0027; CRT-C-0028; CRT-C-0029; CRT-C-0030,
AS-018,Corporate Wi-Fi Network,Network Service,Corp,Local,Internal,Access Boundary,WPA2/3; RADIUS,System Metrics; Behavioural Data,Wireless access for staff/guest devices.,,CRT-D-0027;CRT-D-0035,CRT-C-0015; CRT-C-0003; CRT-C-0017; CRT-C-0049; CRT-C-0014,
AS-019,Mobile Device Fleet,Endpoint Fleet,Prod,Remote,MDMVendor,Endpoint Boundary,Mobile App; Device API,Internal; Confidential,Corporate devices with MDM enforcement and endpoint controls.,,CRT-D-0037;CRT-D-0030,CRT-C-0056; CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0012,
AS-020,Workstations (Endpoints),Endpoint Fleet,Prod,Local,Internal,Endpoint Boundary,RDP; SMB; Browser,Documentation; Shadow IT,User endpoints for internal access and SaaS interaction.,,CRT-D-0037;CRT-D-0030,CRT-C-0056; CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0012; CRT-C-0051; CRT-C-0065,
AS-021,Remote Desktop Gateway,RDP Gateway,Prod,Remote,Internal,Perimeter Boundary,RDP over HTTPS,Workstation Data; Access Logs,Provides RDP exposure for remote support and admin access.,,CRT-D-0027;CRT-D-0008,CRT-C-0003; CRT-C-0013; CRT-C-0012; CRT-C-0010; CRT-C-0017; CRT-C-0016; CRT-C-0049,
AS-022,Source Code Repository,Code Repository,Dev,Remote,DevToolsVendor,Dev Boundary,HTTPS; Git,Source Code; Secrets,Stores application source code and CI configuration.,,CRT-D-0028;CRT-D-0031,CRT-C-0020; CRT-C-0003; CRT-C-0005; CRT-C-0065; CRT-C-0012,
AS-023,CI/CD Pipeline Server,Build/Deploy Service,Dev,Hybrid,Internal,Dev Boundary,HTTPS; SSH; API,Build Artifacts; Deployment Scripts,Build/test/deploy pipelines.,,CRT-D-0028;CRT-D-0004,CRT-C-0020; CRT-C-0003; CRT-C-0005; CRT-C-0065; CRT-C-0010,
AS-024,Configuration Mgmt Database (CMDB),Metadata Service,Prod,Local,Internal,App Tier Boundary,Web UI; API,Workflow Metadata; Asset Records,System metadata for configuration records and relationships.,,CRT-D-0005;CRT-D-0027,CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0005; CRT-C-0062; CRT-C-0057,
AS-025,Directory Services (AD/LDAP),Directory Service,Prod,Local,Internal,Auth Boundary,LDAP; Kerberos; LDAPS,Auth Data; Privilege Data,"Central identity store managing user, device,  and service accounts.",,CRT-D-0008;CRT-D-0013;CRT-D-0021,CRT-C-0012; CRT-C-0007; CRT-C-0011; CRT-C-0003; CRT-C-0010; CRT-C-0017; CRT-C-0049; CRT-C-0065,
AS-026,Privileged Access Mgmt (PAM),Security Service,Prod,Hybrid,SecurityVendor,Admin Boundary,HTTPS UI; SSH Proxy,Privileged Credentials; Admin Logs,Manages privileged sessions and secrets rotation.,,CRT-D-0013;CRT-D-0021;CRT-D-0038,CRT-C-0010; CRT-C-0003; CRT-C-0012; CRT-C-0049; CRT-C-0065; CRT-C-0028,
AS-027,SIEM / Log Platform,Security Analytics,Prod,Hybrid,SecurityVendor,Analytics Boundary,Syslog; Agent; API,Security Telemetry; Audit Logs,Aggregates logs for detection and investigation.,,CRT-D-0023;CRT-D-0038,CRT-C-0049; CRT-C-0017; CRT-C-0052; CRT-C-0065; CRT-C-0003,
